s1, s2, s3, s4, s5, s6, s7, s8, Time
65.7, 63.7, 244.0, 227.4, 209.9, 208.9, 221.6, 211.6, 2019-04-08 00:21:06
65.6, 63.6, 227.3, 231.4, 227.7, 207.7, 204.3, 201.2, 2019-04-08 00:31:07
65.5, 63.6, 233.5, 201.4, 218.3, 261.5, 208.9, 168.9, 2019-04-08 00:41:08
65.5, 63.4, 231.8, 219.0, 217.5, 219.9, 217.9, 192.8, 2019-04-08 00:51:10
65.4, 63.4, 253.6, 204.8, 208.5, 251.0, 218.2, 175.0, 2019-04-08 01:02:00
65.3, 63.3, 225.4, 224.4, 229.7, 210.6, 204.3, 206.3, 2019-04-08 01:12:01
65.3, 63.3, 210.1, 212.1, 242.0, 231.9, 200.0, 184.1, 2019-04-08 01:22:02
65.2, 63.3, 226.0, 246.1, 222.2, 199.7, 212.9, 217.7, 2019-04-08 01:32:04
65.2, 63.2, 218.6, 246.6, 228.6, 211.6, 208.3, 189.5, 2019-04-08 01:42:05
65.0, 63.0, 237.2, 223.9, 209.1, 223.2, 234.9, 184.8, 2019-04-08 01:52:06
65.0, 63.2, 238.9, 237.4, 206.2, 207.4, 230.6, 210.1, 2019-04-08 02:02:55
64.9, 63.1, 238.3, 228.6, 214.3, 209.5, 221.3, 207.0, 2019-04-08 02:12:56
64.8, 63.0, 209.9, 228.7, 259.2, 214.0, 185.4, 192.9, 2019-04-08 02:22:57
64.8, 63.0, 218.9, 222.2, 232.4, 222.0, 202.4, 186.3, 2019-04-08 02:32:59
64.7, 62.8, 250.2, 229.2, 206.2, 218.4, 230.6, 195.8, 2019-04-08 02:43:00
64.6, 62.8, 225.7, 232.7, 220.4, 209.4, 220.6, 210.8, 2019-04-08 02:53:01
