s1, s2, s3, s4, s5, s6, s7, s8, Time
65.2, 63.4, 236.3, 242.3, 246.2, 225.5, 213.9, 204.7, 2019-03-16 00:16:59
65.1, 63.3, 266.4, 225.6, 212.8, 234.5, 256.8, 215.8, 2019-03-16 00:27:00
65.1, 63.2, 234.6, 241.9, 243.1, 229.1, 213.1, 202.6, 2019-03-16 00:37:01
65.0, 63.2, 258.8, 231.5, 223.4, 248.2, 233.6, 186.6, 2019-03-16 00:47:02
65.0, 63.1, 216.7, 248.4, 272.8, 223.3, 204.1, 215.9, 2019-03-16 00:57:03
64.9, 63.1, 248.5, 235.9, 224.1, 230.2, 240.6, 211.2, 2019-03-16 01:07:53
64.9, 63.0, 237.4, 231.1, 243.0, 237.0, 210.9, 200.9, 2019-03-16 01:17:54
64.8, 62.9, 243.9, 230.9, 231.8, 230.1, 227.2, 214.7, 2019-03-16 01:27:55
64.8, 62.9, 246.1, 220.4, 233.8, 256.1, 232.0, 191.0, 2019-03-16 01:37:57
64.7, 62.9, 244.1, 232.0, 231.8, 239.0, 228.4, 200.4, 2019-03-16 01:47:58
64.7, 62.8, 262.8, 245.3, 217.2, 225.7, 250.4, 220.8, 2019-03-16 01:57:59
64.6, 62.7, 242.9, 264.7, 230.0, 216.0, 226.4, 234.6, 2019-03-16 02:08:47
64.6, 62.7, 235.2, 229.5, 245.3, 236.6, 219.9, 205.1, 2019-03-16 02:18:48
64.4, 62.7, 238.7, 254.2, 257.2, 224.6, 203.2, 204.1, 2019-03-16 02:28:49
64.4, 62.6, 242.8, 252.7, 230.9, 220.6, 234.2, 222.7, 2019-03-16 02:38:50
64.4, 62.6, 260.1, 236.4, 231.2, 228.9, 229.3, 208.4, 2019-03-16 02:48:51
64.3, 62.5, 246.4, 246.5, 237.3, 224.5, 220.8, 212.8, 2019-03-16 02:58:53
64.3, 62.5, 228.0, 247.3, 255.3, 227.7, 214.9, 199.0, 2019-03-16 03:09:41
64.2, 62.4, 255.6, 226.7, 220.0, 250.7, 253.2, 196.7, 2019-03-16 03:19:42
64.2, 62.3, 230.8, 233.1, 260.6, 250.7, 204.9, 188.2, 2019-03-16 03:29:43
64.1, 62.4, 245.3, 256.6, 237.8, 217.6, 222.7, 221.0, 2019-03-16 03:39:44
64.2, 62.4, 234.4, 251.2, 246.5, 219.3, 219.5, 227.3, 2019-03-16 03:49:46
64.1, 62.3, 237.2, 223.7, 243.7, 247.9, 226.6, 200.6, 2019-03-16 03:59:47
