s1, s2, s3, s4, s5, s6, s7, s8, Time
64.7, 62.8, 227.1, 207.5, 228.4, 232.2, 210.3, 184.6, 2019-04-11 00:18:06
64.6, 62.8, 256.4, 273.9, 197.6, 203.2, 237.0, 197.2, 2019-04-11 00:28:07
64.5, 62.7, 252.4, 219.5, 211.4, 218.6, 215.4, 202.4, 2019-04-11 00:38:09
64.5, 62.6, 218.0, 214.2, 235.7, 229.9, 200.2, 182.6, 2019-04-11 00:48:10
64.4, 62.6, 225.8, 210.4, 231.3, 229.9, 202.1, 189.6, 2019-04-11 00:58:11
64.3, 62.4, 214.2, 234.2, 235.7, 208.3, 198.9, 205.9, 2019-04-11 01:08:54
64.2, 62.3, 233.4, 237.4, 216.5, 202.0, 225.5, 223.8, 2019-04-11 01:18:56
64.1, 62.3, 217.4, 238.1, 240.2, 208.2, 197.4, 200.1, 2019-04-11 01:28:57
64.0, 62.2, 224.6, 220.6, 232.9, 216.7, 204.8, 200.9, 2019-04-11 01:38:58
63.9, 62.3, 249.8, 243.5, 201.6, 214.3, 240.9, 188.3, 2019-04-11 01:49:00
63.7, 62.0, 225.0, 227.2, 228.1, 227.0, 203.1, 186.6, 2019-04-11 01:59:01
