s1, s2, s3, s4, s5, s6, s7, s8, Time
64.9, 63.0, 248.6, 238.6, 197.2, 204.8, 245.0, 200.6, 2019-04-10 00:17:50
64.8, 62.8, 216.4, 204.0, 232.2, 236.1, 202.6, 180.0, 2019-04-10 00:27:52
64.8, 62.9, 251.0, 222.7, 207.4, 214.3, 213.9, 196.3, 2019-04-10 00:37:53
64.6, 62.6, 227.9, 231.3, 210.8, 206.4, 227.7, 206.5, 2019-04-10 00:47:54
64.6, 62.6, 216.1, 222.1, 233.0, 217.0, 201.3, 200.0, 2019-04-10 00:57:55
64.4, 62.5, 214.3, 236.7, 231.2, 217.0, 203.7, 185.6, 2019-04-10 01:08:45
64.3, 62.3, 222.4, 225.8, 225.3, 210.1, 205.2, 208.9, 2019-04-10 01:18:47
64.2, 62.5, 216.1, 213.2, 233.8, 227.7, 200.2, 190.8, 2019-04-10 01:28:48
64.2, 62.3, 219.5, 219.8, 229.3, 221.2, 203.8, 191.6, 2019-04-10 01:38:49
64.2, 62.2, 230.8, 219.1, 219.0, 220.6, 209.6, 194.5, 2019-04-10 01:48:50
64.1, 62.2, 221.1, 198.2, 226.0, 265.7, 217.8, 168.0, 2019-04-10 01:58:52
64.0, 62.3, 239.6, 201.7, 210.3, 267.3, 227.7, 164.9, 2019-04-10 02:09:40
63.9, 62.0, 227.1, 231.1, 226.1, 216.2, 202.5, 188.5, 2019-04-10 02:19:41
63.8, 62.0, 219.0, 230.6, 232.3, 208.7, 203.2, 203.8, 2019-04-10 02:29:42
63.8, 62.0, 224.3, 209.2, 224.3, 231.5, 215.1, 184.3, 2019-04-10 02:39:44
63.8, 61.9, 224.6, 207.6, 230.4, 241.4, 207.6, 177.6, 2019-04-10 02:49:45
63.7, 62.0, 233.7, 232.1, 210.1, 204.0, 233.4, 221.2, 2019-04-10 02:59:46
63.6, 61.7, 218.0, 212.6, 234.9, 229.4, 202.8, 187.2, 2019-04-10 03:10:35
63.6, 61.7, 202.0, 215.5, 265.3, 245.0, 188.2, 172.9, 2019-04-10 03:20:36
63.7, 62.1, 218.0, 216.2, 234.7, 228.9, 203.8, 188.2, 2019-04-10 03:30:37
63.8, 62.0, 214.8, 212.8, 237.7, 237.0, 205.9, 180.4, 2019-04-10 03:40:38
63.8, 61.9, 255.4, 245.4, 204.1, 207.0, 233.7, 198.1, 2019-04-10 03:50:40
63.8, 61.9, 243.9, 227.9, 212.7, 212.9, 221.1, 202.7, 2019-04-10 04:01:28
63.9, 62.3, 245.4, 232.5, 207.1, 208.0, 233.3, 213.0, 2019-04-10 04:11:29
64.0, 62.2, 208.7, 228.4, 246.6, 223.2, 201.5, 184.6, 2019-04-10 04:21:31
63.9, 62.2, 236.7, 226.7, 215.7, 216.1, 218.0, 195.4, 2019-04-10 04:31:32
63.7, 61.9, 225.3, 209.2, 223.5, 240.0, 214.7, 184.1, 2019-04-10 04:41:33
63.8, 62.3, 246.7, 253.2, 208.5, 200.2, 225.8, 220.0, 2019-04-10 04:51:34
63.9, 62.3, 251.9, 224.9, 210.7, 212.4, 218.7, 207.6, 2019-04-10 05:01:43
63.9, 62.1, 254.7, 245.8, 203.8, 206.7, 231.6, 207.4, 2019-04-10 05:11:44
63.8, 62.0, 223.3, 223.7, 239.0, 220.9, 196.7, 190.6, 2019-04-10 05:21:45
63.7, 61.9, 211.2, 230.7, 239.6, 220.1, 204.6, 189.6, 2019-04-10 05:31:46
63.8, 62.0, 205.5, 210.9, 252.6, 247.8, 197.0, 172.1, 2019-04-10 05:41:47
63.9, 62.3, 216.7, 229.4, 238.1, 215.2, 200.6, 195.2, 2019-04-10 05:51:49
