s1, s2, s3, s4, s5, s6, s7, s8, Time
63, 57, 359, 352, 360, 361, 340, 316, 2019-01-26 00:15:57
62, 57, 369, 345, 360, 366, 337, 310, 2019-01-26 00:25:58
61, 57, 360, 342, 356, 390, 352, 288, 2019-01-26 00:36:00
62, 57, 402, 349, 339, 389, 368, 292, 2019-01-26 00:46:01
62, 57, 368, 370, 350, 344, 355, 328, 2019-01-26 00:56:02
61, 57, 389, 344, 334, 391, 385, 290, 2019-01-26 01:06:16
61, 56, 388, 364, 348, 365, 346, 304, 2019-01-26 01:16:17
63, 57, 376, 391, 344, 330, 358, 344, 2019-01-26 01:26:18
62, 57, 380, 353, 349, 358, 347, 318, 2019-01-26 01:36:19
61, 56, 350, 356, 391, 355, 323, 320, 2019-01-26 01:46:20
61, 56, 365, 378, 360, 341, 351, 334, 2019-01-26 01:56:21
62, 57, 422, 346, 330, 392, 384, 287, 2019-01-26 02:06:34
61, 56, 354, 362, 369, 351, 337, 315, 2019-01-26 02:16:35
61, 56, 348, 361, 401, 349, 324, 324, 2019-01-26 02:26:36
62, 57, 400, 360, 338, 364, 360, 310, 2019-01-26 02:36:38
62, 56, 371, 385, 334, 336, 426, 334, 2019-01-26 02:46:39
61, 56, 355, 351, 386, 356, 332, 326, 2019-01-26 02:56:40
61, 56, 353, 351, 392, 357, 335, 328, 2019-01-26 03:06:52
62, 56, 374, 366, 336, 356, 408, 315, 2019-01-26 03:16:53
61, 56, 360, 366, 387, 342, 324, 334, 2019-01-26 03:26:55
60, 55, 364, 374, 362, 358, 351, 316, 2019-01-26 03:36:56
62, 56, 381, 342, 357, 371, 342, 315, 2019-01-26 03:46:57
61, 56, 342, 389, 400, 338, 324, 325, 2019-01-26 03:56:58
60, 55, 344, 351, 416, 361, 319, 316, 2019-01-26 04:07:13
61, 56, 381, 351, 349, 365, 368, 325, 2019-01-26 04:17:14
62, 56, 379, 367, 338, 360, 393, 314, 2019-01-26 04:27:15
60, 55, 378, 351, 351, 373, 360, 313, 2019-01-26 04:37:16
60, 55, 376, 380, 353, 349, 365, 322, 2019-01-26 04:47:18
62, 56, 371, 363, 355, 371, 357, 297, 2019-01-26 04:57:19
61, 55, 369, 361, 361, 370, 355, 299, 2019-01-26 05:07:31
60, 55, 357, 362, 393, 360, 332, 321, 2019-01-26 05:17:33
61, 55, 361, 358, 384, 360, 329, 325, 2019-01-26 05:27:34
61, 55, 391, 334, 342, 443, 387, 276, 2019-01-26 05:37:35
60, 55, 370, 361, 381, 373, 323, 306, 2019-01-26 05:47:36
61, 55, 378, 418, 349, 337, 369, 337, 2019-01-26 05:57:37
61, 55, 339, 353, 434, 375, 315, 306, 2019-01-26 06:07:50
59, 55, 370, 376, 376, 340, 333, 353, 2019-01-26 06:17:51
61, 55, 372, 381, 371, 342, 345, 344, 2019-01-26 06:27:52
61, 55, 381, 354, 360, 359, 345, 328, 2019-01-26 06:37:53
60, 54, 383, 344, 375, 394, 339, 297, 2019-01-26 06:47:55
61, 55, 381, 399, 346, 339, 371, 344, 2019-01-26 06:57:56
61, 55, 373, 396, 359, 336, 359, 349, 2019-01-26 07:08:13
59, 54, 366, 357, 371, 381, 354, 299, 2019-01-26 07:18:14
61, 55, 357, 344, 420, 391, 313, 310, 2019-01-26 07:28:15
