s1, s2, s3, s4, s5, s6, s7, s8, Time
65.0, 63.2, 239.4, 224.8, 205.3, 216.6, 219.8, 182.5, 2019-04-01 00:20:32
64.9, 63.0, 207.6, 224.0, 235.1, 210.9, 198.8, 187.7, 2019-04-01 00:30:33
64.9, 63.0, 220.5, 215.5, 214.1, 219.3, 221.5, 183.8, 2019-04-01 00:40:34
64.8, 63.1, 239.5, 236.8, 202.3, 197.4, 232.5, 220.8, 2019-04-01 00:50:36
64.7, 62.9, 259.4, 215.3, 195.2, 222.3, 230.8, 183.0, 2019-04-01 01:01:26
64.6, 62.8, 208.7, 210.9, 240.9, 225.5, 191.2, 178.9, 2019-04-01 01:11:27
64.5, 62.8, 226.0, 212.9, 215.6, 215.6, 210.5, 196.1, 2019-04-01 01:21:28
64.4, 62.6, 228.7, 202.1, 216.8, 237.7, 211.2, 173.9, 2019-04-01 01:31:30
64.4, 62.6, 251.9, 224.0, 201.5, 218.0, 221.4, 181.8, 2019-04-01 01:41:31
64.3, 62.6, 218.5, 206.9, 233.1, 226.7, 192.6, 185.6, 2019-04-01 01:51:32
64.2, 62.6, 211.4, 232.7, 235.3, 194.7, 204.7, 225.3, 2019-04-01 02:02:21
64.1, 62.5, 222.6, 222.4, 217.2, 213.0, 215.7, 190.2, 2019-04-01 02:12:22
64.1, 62.3, 204.7, 232.2, 240.8, 204.3, 199.2, 198.1, 2019-04-01 02:22:24
64.0, 62.4, 247.0, 222.8, 202.6, 214.6, 230.7, 183.4, 2019-04-01 02:32:25
63.9, 62.4, 253.8, 238.7, 194.6, 208.0, 239.8, 195.6, 2019-04-01 02:42:26
63.8, 62.2, 222.8, 213.4, 228.1, 220.6, 197.9, 185.5, 2019-04-01 02:52:27
63.8, 62.3, 215.1, 208.9, 235.4, 219.7, 198.2, 192.8, 2019-04-01 03:03:16
63.8, 62.0, 204.5, 226.7, 246.7, 205.0, 193.4, 204.1, 2019-04-01 03:13:17
63.7, 62.1, 238.8, 207.3, 213.6, 231.3, 208.4, 184.1, 2019-04-01 03:23:18
63.6, 62.0, 212.8, 267.5, 219.0, 194.7, 216.1, 209.0, 2019-04-01 03:33:20
63.6, 62.0, 218.4, 213.4, 234.3, 215.7, 200.7, 200.6, 2019-04-01 03:43:21
63.8, 62.2, 203.8, 223.0, 256.6, 204.9, 189.9, 214.0, 2019-04-01 03:53:23
63.8, 62.2, 228.4, 219.6, 218.8, 207.5, 211.6, 211.9, 2019-04-01 04:04:11
63.8, 62.1, 243.4, 229.5, 202.3, 216.1, 228.1, 186.7, 2019-04-01 04:14:12
64.0, 62.4, 218.3, 223.8, 223.6, 225.7, 204.5, 177.2, 2019-04-01 04:24:14
64.0, 62.3, 220.8, 198.7, 233.6, 238.1, 195.2, 182.7, 2019-04-01 04:34:15
63.9, 62.2, 231.3, 217.3, 226.0, 218.6, 196.2, 192.5, 2019-04-01 04:44:16
63.9, 62.1, 225.0, 230.9, 209.2, 215.3, 234.0, 184.7, 2019-04-01 04:54:18
64.0, 62.4, 215.7, 205.5, 248.0, 244.7, 187.5, 174.5, 2019-04-01 05:05:06
64.1, 62.4, 231.1, 212.2, 213.0, 227.9, 221.3, 185.8, 2019-04-01 05:15:08
64.0, 62.2, 211.2, 217.7, 235.8, 216.0, 205.1, 190.8, 2019-04-01 05:25:09
64.0, 62.2, 237.0, 216.2, 213.4, 217.4, 213.5, 193.9, 2019-04-01 05:35:10
63.9, 62.2, 246.7, 214.2, 207.6, 240.0, 214.4, 169.5, 2019-04-01 05:45:11
64.1, 62.4, 213.1, 205.6, 255.2, 234.6, 184.8, 182.3, 2019-04-01 05:55:13
64.1, 62.2, 223.2, 198.9, 233.3, 241.2, 199.5, 181.5, 2019-04-01 06:06:01
64.0, 62.2, 244.8, 222.1, 208.1, 217.2, 224.6, 185.5, 2019-04-01 06:16:03
64.1, 62.3, 231.3, 215.4, 225.0, 225.2, 213.2, 190.9, 2019-04-01 06:26:04
64.2, 62.5, 242.1, 238.0, 206.1, 204.4, 225.9, 207.0, 2019-04-01 06:36:05
64.2, 62.3, 216.2, 214.8, 237.2, 237.5, 191.3, 172.1, 2019-04-01 06:46:06
64.3, 62.5, 204.1, 273.5, 244.6, 186.3, 199.3, 237.8, 2019-04-01 06:56:08
65.0, 63.1, 224.2, 212.3, 221.3, 220.0, 211.2, 191.7, 2019-04-01 07:06:56
65.4, 63.6, 211.2, 212.6, 244.9, 223.2, 194.6, 189.7, 2019-04-01 07:16:58
65.8, 63.8, 223.5, 229.1, 212.1, 209.4, 221.8, 199.1, 2019-04-01 07:26:59
65.9, 63.8, 204.6, 225.4, 244.6, 204.0, 199.2, 208.1, 2019-04-01 07:37:00
66.2, 64.3, 241.1, 212.0, 205.5, 243.4, 215.7, 164.8, 2019-04-01 07:47:01
66.4, 64.7, 234.1, 197.6, 213.3, 245.6, 212.6, 170.9, 2019-04-01 07:57:03
66.5, 64.5, 237.9, 213.8, 203.9, 237.5, 219.8, 164.6, 2019-04-01 08:07:51
66.6, 64.6, 207.7, 234.8, 225.3, 202.5, 208.7, 194.1, 2019-04-01 08:17:53
66.5, 64.3, 241.1, 221.0, 207.4, 209.3, 214.9, 196.5, 2019-04-01 08:27:54
66.3, 64.0, 212.7, 226.8, 225.1, 206.9, 198.6, 192.1, 2019-04-01 08:37:55
66.3, 64.2, 250.9, 208.8, 201.5, 229.6, 221.0, 175.6, 2019-04-01 08:47:57
66.2, 64.3, 230.1, 203.7, 216.9, 233.3, 197.6, 176.6, 2019-04-01 08:57:58
66.3, 64.2, 214.9, 223.3, 224.1, 207.3, 202.0, 193.9, 2019-04-01 09:08:47
66.3, 64.0, 226.8, 213.0, 215.0, 219.4, 206.2, 181.6, 2019-04-01 09:18:48
66.3, 64.2, 230.6, 240.9, 209.7, 201.6, 217.3, 193.8, 2019-04-01 09:28:50
66.3, 64.4, 229.9, 219.9, 210.0, 217.7, 206.7, 184.0, 2019-04-01 09:38:51
66.2, 64.1, 221.8, 239.1, 215.1, 204.0, 201.3, 197.0, 2019-04-01 09:48:52
66.1, 64.1, 219.9, 249.1, 213.7, 197.1, 206.8, 205.1, 2019-04-01 09:58:54
66.2, 64.2, 218.2, 227.9, 223.8, 207.3, 197.6, 194.3, 2019-04-01 10:09:42
66.1, 64.0, 227.9, 222.1, 213.1, 211.3, 210.4, 190.4, 2019-04-01 10:19:43
66.0, 64.0, 240.4, 205.5, 205.2, 230.3, 218.5, 177.0, 2019-04-01 10:29:45
66.0, 64.1, 275.8, 202.0, 195.9, 242.6, 220.1, 167.5, 2019-04-01 10:39:46
65.9, 63.9, 233.9, 204.6, 210.2, 225.6, 216.7, 183.2, 2019-04-01 10:49:47
65.9, 63.9, 225.2, 209.8, 221.0, 219.9, 201.0, 187.1, 2019-04-01 10:59:48
65.8, 63.8, 228.6, 223.8, 214.6, 206.1, 211.6, 201.2, 2019-04-01 11:10:37
65.8, 63.8, 199.3, 215.2, 261.1, 206.5, 189.1, 198.5, 2019-04-01 11:20:38
65.7, 63.7, 208.6, 217.4, 260.6, 212.5, 178.4, 194.2, 2019-04-01 11:30:40
65.8, 63.9, 247.9, 205.1, 207.2, 254.1, 208.2, 162.8, 2019-04-01 11:40:41
65.7, 63.8, 246.2, 205.5, 206.3, 227.3, 214.0, 185.7, 2019-04-01 11:50:42
65.7, 63.9, 220.3, 211.6, 219.8, 232.3, 205.9, 174.9, 2019-04-01 12:01:31
65.7, 63.9, 213.1, 224.8, 234.0, 213.1, 195.1, 187.1, 2019-04-01 12:11:32
65.7, 63.8, 217.9, 228.5, 231.3, 206.7, 194.1, 192.0, 2019-04-01 12:21:33
65.7, 63.8, 236.1, 238.9, 205.6, 208.2, 224.1, 189.8, 2019-04-01 12:31:35
65.7, 63.9, 219.4, 209.3, 228.8, 229.8, 207.7, 186.4, 2019-04-01 12:41:36
65.9, 64.4, 230.8, 225.2, 208.8, 220.6, 217.2, 180.1, 2019-04-01 12:51:37
65.9, 64.0, 235.2, 225.5, 206.6, 216.2, 223.6, 185.4, 2019-04-01 13:02:26
65.8, 63.8, 203.9, 222.7, 252.3, 204.8, 185.6, 216.5, 2019-04-01 13:12:27
66.0, 64.4, 237.7, 222.2, 210.8, 216.8, 212.7, 187.2, 2019-04-01 13:22:29
66.1, 64.2, 211.0, 227.7, 240.8, 204.8, 199.5, 197.6, 2019-04-01 13:32:30
66.0, 64.3, 251.5, 218.3, 199.6, 224.0, 230.8, 180.7, 2019-04-01 13:42:31
66.3, 64.5, 194.2, 221.8, 265.9, 202.9, 193.7, 210.4, 2019-04-01 13:52:32
66.3, 64.5, 232.2, 221.3, 217.9, 220.0, 197.2, 188.5, 2019-04-01 14:03:21
66.3, 64.2, 222.2, 212.5, 226.1, 219.0, 201.7, 189.8, 2019-04-01 14:13:23
66.2, 64.2, 220.0, 240.1, 215.4, 207.0, 218.4, 191.1, 2019-04-01 14:23:24
66.2, 64.2, 242.9, 204.1, 210.4, 229.5, 213.8, 183.3, 2019-04-01 14:33:25
66.1, 64.0, 225.3, 208.3, 218.9, 237.4, 205.8, 171.0, 2019-04-01 14:43:26
66.0, 64.0, 221.0, 240.4, 219.8, 201.6, 205.8, 212.3, 2019-04-01 14:53:28
66.1, 64.4, 227.7, 226.2, 216.4, 216.1, 206.5, 188.3, 2019-04-01 15:04:16
66.3, 64.3, 237.0, 219.2, 208.8, 218.8, 218.2, 186.5, 2019-04-01 15:14:18
66.2, 64.1, 235.4, 234.2, 212.9, 208.9, 213.0, 193.4, 2019-04-01 15:24:19
66.1, 64.0, 239.0, 211.6, 214.3, 222.6, 205.7, 197.4, 2019-04-01 15:34:20
66.1, 64.2, 231.3, 212.6, 221.6, 231.1, 200.7, 182.9, 2019-04-01 15:44:21
65.8, 63.0, 241.8, 223.1, 198.1, 231.5, 242.3, 171.6, 2019-04-01 15:54:23
65.1, 62.2, 206.7, 249.0, 240.6, 199.9, 196.1, 206.1, 2019-04-01 16:05:12
