s1, s2, s3, s4, s5, s6, s7, s8, Time
64.0, 61.8, 258.4, 278.1, 233.5, 218.7, 224.1, 221.9, 2019-03-05 00:18:06
63.8, 61.5, 229.5, 252.9, 263.8, 224.0, 211.2, 222.1, 2019-03-05 00:28:07
63.7, 61.4, 242.5, 243.3, 247.1, 245.9, 219.6, 198.5, 2019-03-05 00:38:08
63.6, 61.3, 235.2, 264.8, 252.6, 220.0, 214.8, 222.4, 2019-03-05 00:48:09
63.4, 61.1, 258.9, 242.3, 226.0, 234.2, 248.9, 220.0, 2019-03-05 00:58:10
63.4, 60.9, 257.3, 232.0, 229.6, 252.5, 247.5, 195.2, 2019-03-05 01:08:33
63.3, 60.8, 264.1, 244.6, 222.4, 231.7, 252.8, 224.9, 2019-03-05 01:18:34
63.2, 60.9, 257.1, 247.5, 231.7, 235.9, 242.8, 208.8, 2019-03-05 01:28:35
63.4, 61.1, 240.9, 221.3, 240.4, 261.9, 240.7, 201.7, 2019-03-05 01:38:36
63.4, 61.1, 256.0, 243.1, 232.4, 236.2, 241.6, 213.6, 2019-03-05 01:48:37
63.4, 61.1, 236.7, 262.8, 263.8, 227.1, 211.0, 209.5, 2019-03-05 01:58:38
63.6, 61.4, 239.1, 222.9, 242.2, 265.8, 240.5, 196.6, 2019-03-05 02:08:47
63.5, 61.4, 247.3, 242.9, 239.0, 242.4, 228.1, 208.6, 2019-03-05 02:18:48
63.5, 61.1, 252.7, 239.7, 235.9, 242.8, 235.2, 206.9, 2019-03-05 02:28:49
63.6, 61.5, 250.2, 237.8, 237.8, 242.1, 230.7, 213.7, 2019-03-05 02:38:50
63.5, 61.3, 238.4, 258.5, 249.4, 221.6, 221.5, 230.6, 2019-03-05 02:48:51
63.6, 61.4, 252.5, 246.8, 239.2, 237.4, 226.6, 205.8, 2019-03-05 02:58:53
63.7, 61.4, 243.4, 241.1, 249.1, 237.7, 228.1, 210.1, 2019-03-05 03:09:01
63.6, 61.4, 261.9, 243.2, 234.3, 233.9, 238.1, 213.9, 2019-03-05 03:19:02
63.7, 61.5, 255.2, 268.5, 242.2, 225.7, 223.0, 215.6, 2019-03-05 03:29:03
63.7, 61.4, 243.4, 255.0, 241.5, 232.0, 229.3, 217.8, 2019-03-05 03:39:04
63.5, 61.4, 262.7, 241.8, 237.4, 238.8, 232.5, 206.9, 2019-03-05 03:49:05
63.7, 61.5, 249.6, 252.7, 241.2, 234.9, 230.3, 207.0, 2019-03-05 03:59:06
63.8, 61.6, 243.9, 230.2, 239.2, 255.3, 238.4, 203.2, 2019-03-05 04:09:15
63.6, 61.4, 237.7, 262.8, 255.2, 222.3, 212.6, 235.3, 2019-03-05 04:19:16
63.7, 61.5, 258.3, 235.9, 225.0, 247.4, 260.2, 208.9, 2019-03-05 04:29:17
63.7, 61.4, 231.8, 249.0, 265.5, 241.7, 213.0, 203.1, 2019-03-05 04:39:18
63.6, 61.3, 256.4, 243.0, 232.8, 237.5, 240.4, 213.3, 2019-03-05 04:49:19
63.7, 61.6, 240.2, 242.8, 249.5, 238.4, 223.8, 212.3, 2019-03-05 04:59:20
63.7, 61.5, 246.7, 238.8, 244.6, 248.2, 225.5, 201.0, 2019-03-05 05:09:29
63.6, 61.5, 247.5, 242.8, 240.4, 232.2, 232.7, 225.8, 2019-03-05 05:19:30
63.7, 61.4, 251.7, 235.3, 242.7, 243.8, 232.0, 205.6, 2019-03-05 05:29:31
63.6, 61.2, 240.9, 233.7, 257.7, 258.3, 222.6, 191.2, 2019-03-05 05:39:32
63.5, 61.3, 250.0, 235.5, 235.2, 256.8, 244.1, 198.0, 2019-03-05 05:49:33
63.6, 61.7, 250.4, 250.7, 243.6, 239.6, 224.5, 209.2, 2019-03-05 05:59:35
63.5, 61.2, 241.9, 226.9, 249.2, 258.6, 228.1, 198.7, 2019-03-05 06:09:43
63.5, 61.2, 217.7, 242.0, 288.2, 247.7, 212.1, 202.7, 2019-03-05 06:19:44
63.6, 61.4, 245.4, 226.6, 247.5, 267.3, 234.2, 191.7, 2019-03-05 06:29:45
63.5, 61.1, 230.8, 261.0, 258.0, 224.5, 219.6, 233.0, 2019-03-05 06:39:46
63.8, 61.7, 242.3, 244.7, 249.6, 243.0, 223.8, 208.1, 2019-03-05 06:49:47
64.8, 62.7, 253.6, 264.8, 244.4, 229.4, 225.5, 209.6, 2019-03-05 07:04:12
65.2, 62.7, 278.6, 246.4, 218.6, 233.5, 264.3, 224.2, 2019-03-05 07:14:13
65.5, 63.0, 259.1, 247.5, 237.7, 237.0, 224.5, 212.4, 2019-03-05 07:24:14
65.9, 63.3, 261.3, 243.3, 228.1, 241.1, 245.5, 212.4, 2019-03-05 07:34:15
66.1, 63.4, 271.7, 250.2, 223.4, 229.1, 244.9, 226.7, 2019-03-05 07:44:16
66.2, 63.6, 254.3, 217.9, 234.9, 264.5, 245.2, 198.0, 2019-03-05 07:54:17
66.2, 63.4, 241.0, 237.9, 239.6, 236.2, 235.0, 219.3, 2019-03-05 08:04:32
66.2, 63.6, 258.5, 258.8, 230.2, 230.5, 239.5, 214.6, 2019-03-05 08:14:33
66.3, 63.7, 237.5, 243.8, 259.1, 233.5, 214.0, 210.9, 2019-03-05 08:24:34
66.2, 63.7, 260.0, 228.4, 228.9, 250.2, 245.7, 198.1, 2019-03-05 08:34:35
66.4, 63.7, 271.9, 249.7, 225.2, 230.2, 238.7, 216.5, 2019-03-05 08:44:37
66.5, 63.8, 276.0, 244.0, 219.8, 233.5, 249.9, 213.3, 2019-03-05 08:54:38
