s1, s2, s3, s4, s5, s6, s7, s8, Time
59, 54, 380, 383, 372, 353, 343, 337, 2019-01-27 00:14:37
60, 54, 365, 367, 380, 375, 343, 319, 2019-01-27 00:24:38
60, 54, 389, 349, 366, 385, 350, 312, 2019-01-27 00:34:39
59, 53, 358, 385, 409, 346, 323, 359, 2019-01-27 00:44:40
60, 54, 369, 354, 380, 399, 349, 303, 2019-01-27 00:54:41
60, 54, 386, 374, 356, 369, 371, 324, 2019-01-27 01:04:55
59, 53, 378, 389, 372, 356, 350, 331, 2019-01-27 01:14:57
60, 54, 356, 360, 399, 363, 337, 335, 2019-01-27 01:24:58
60, 53, 393, 388, 350, 349, 381, 333, 2019-01-27 01:34:59
59, 53, 386, 372, 371, 374, 354, 319, 2019-01-27 01:45:00
60, 54, 363, 365, 386, 361, 344, 338, 2019-01-27 01:55:01
60, 54, 409, 374, 347, 367, 377, 327, 2019-01-27 02:05:14
59, 53, 377, 351, 374, 406, 366, 307, 2019-01-27 02:15:15
60, 54, 374, 364, 376, 366, 349, 336, 2019-01-27 02:25:17
60, 53, 385, 386, 348, 363, 418, 323, 2019-01-27 02:35:18
59, 53, 420, 349, 356, 412, 373, 307, 2019-01-27 02:45:19
60, 53, 372, 359, 388, 374, 342, 319, 2019-01-27 02:55:20
59, 53, 402, 359, 350, 389, 377, 309, 2019-01-27 03:05:33
59, 53, 385, 420, 356, 355, 387, 331, 2019-01-27 03:15:34
60, 53, 386, 361, 377, 378, 346, 316, 2019-01-27 03:25:35
59, 52, 353, 365, 417, 374, 329, 317, 2019-01-27 03:35:37
60, 53, 392, 355, 373, 397, 344, 312, 2019-01-27 03:45:38
60, 54, 389, 392, 361, 354, 360, 350, 2019-01-27 03:55:39
59, 53, 422, 386, 340, 369, 398, 316, 2019-01-27 04:05:52
60, 54, 362, 458, 363, 327, 398, 375, 2019-01-27 04:15:53
60, 53, 383, 411, 360, 344, 359, 349, 2019-01-27 04:25:54
59, 53, 399, 370, 357, 381, 369, 314, 2019-01-27 04:35:55
60, 54, 406, 342, 361, 424, 372, 300, 2019-01-27 04:45:57
60, 53, 396, 355, 372, 402, 348, 300, 2019-01-27 04:55:58
59, 53, 359, 360, 419, 367, 326, 352, 2019-01-27 05:06:12
60, 53, 363, 385, 399, 353, 351, 344, 2019-01-27 05:16:14
59, 53, 387, 350, 373, 385, 356, 321, 2019-01-27 05:26:15
59, 53, 381, 374, 377, 373, 356, 315, 2019-01-27 05:36:16
60, 53, 380, 376, 366, 357, 367, 340, 2019-01-27 05:46:17
59, 53, 413, 369, 351, 368, 376, 335, 2019-01-27 05:56:18
59, 53, 392, 389, 351, 369, 371, 310, 2019-01-27 06:06:31
60, 54, 385, 337, 373, 450, 349, 290, 2019-01-27 06:16:32
59, 53, 381, 414, 360, 344, 348, 346, 2019-01-27 06:26:34
60, 53, 366, 376, 396, 371, 340, 326, 2019-01-27 06:36:35
60, 53, 370, 366, 381, 370, 357, 319, 2019-01-27 06:46:36
59, 53, 370, 399, 380, 353, 345, 348, 2019-01-27 06:56:37
60, 53, 375, 377, 388, 364, 345, 329, 2019-01-27 07:06:50
60, 53, 389, 335, 379, 422, 349, 298, 2019-01-27 07:16:51
60, 54, 395, 378, 347, 369, 385, 322, 2019-01-27 07:26:53
61, 54, 373, 353, 399, 381, 333, 331, 2019-01-27 07:36:54
61, 55, 445, 376, 337, 370, 380, 321, 2019-01-27 07:46:55
60, 54, 363, 377, 394, 365, 341, 324, 2019-01-27 07:56:56
61, 54, 407, 359, 351, 382, 385, 321, 2019-01-27 08:07:11
61, 54, 377, 382, 365, 352, 366, 345, 2019-01-27 08:17:12
61, 54, 388, 362, 351, 380, 378, 314, 2019-01-27 08:27:13
62, 55, 396, 374, 360, 369, 359, 322, 2019-01-27 08:37:15
62, 55, 380, 357, 377, 368, 339, 326, 2019-01-27 08:47:16
62, 55, 380, 378, 356, 353, 372, 333, 2019-01-27 08:57:17
63, 55, 366, 370, 368, 381, 369, 298, 2019-01-27 09:07:29
65, 56, 402, 372, 335, 376, 407, 297, 2019-01-27 09:17:31
63, 55, 426, 350, 332, 400, 407, 303, 2019-01-27 09:27:32
63, 55, 341, 420, 406, 329, 342, 357, 2019-01-27 09:37:33
65, 55, 359, 436, 383, 326, 345, 374, 2019-01-27 09:47:34
64, 55, 358, 344, 399, 385, 324, 312, 2019-01-27 09:57:36
63, 55, 390, 396, 349, 345, 365, 326, 2019-01-27 10:07:48
63, 55, 390, 373, 349, 355, 401, 342, 2019-01-27 10:17:50
63, 56, 370, 349, 374, 405, 347, 294, 2019-01-27 10:27:51
62, 56, 391, 376, 341, 351, 411, 348, 2019-01-27 10:37:52
62, 55, 387, 365, 359, 372, 366, 317, 2019-01-27 10:47:53
63, 55, 392, 371, 351, 366, 391, 325, 2019-01-27 10:57:55
62, 56, 370, 362, 390, 364, 334, 333, 2019-01-27 11:08:08
62, 55, 377, 348, 380, 395, 341, 304, 2019-01-27 11:18:09
62, 55, 369, 382, 390, 355, 339, 337, 2019-01-27 11:28:10
63, 56, 379, 349, 360, 406, 373, 298, 2019-01-27 11:38:12
62, 56, 389, 352, 346, 396, 412, 298, 2019-01-27 11:48:13
62, 56, 411, 349, 356, 390, 356, 318, 2019-01-27 11:58:14
63, 56, 411, 388, 338, 349, 395, 347, 2019-01-27 12:08:27
62, 56, 391, 345, 358, 391, 360, 311, 2019-01-27 12:18:28
62, 56, 365, 352, 396, 397, 332, 298, 2019-01-27 12:28:29
62, 56, 356, 389, 405, 348, 336, 354, 2019-01-27 12:38:30
63, 56, 380, 363, 389, 367, 329, 320, 2019-01-27 12:48:31
62, 56, 385, 348, 369, 394, 349, 301, 2019-01-27 12:58:33
