s1, s2, s3, s4, s5, s6, s7, s8, Time
63.3, 60.6, 259.2, 278.1, 227.5, 227.1, 262.9, 220.2, 2019-03-07 00:19:28
63.3, 60.4, 252.9, 217.4, 259.7, 289.9, 213.3, 194.3, 2019-03-07 00:29:29
63.4, 60.6, 258.3, 238.3, 243.0, 250.6, 232.8, 208.3, 2019-03-07 00:39:30
63.3, 60.6, 239.1, 244.1, 261.6, 240.0, 227.0, 218.9, 2019-03-07 00:49:31
63.3, 60.7, 278.0, 257.2, 221.0, 240.3, 277.7, 210.1, 2019-03-07 00:59:33
63.5, 60.7, 277.4, 235.8, 235.7, 255.8, 234.5, 203.7, 2019-03-07 01:09:46
63.3, 60.4, 244.8, 255.1, 244.5, 233.7, 243.3, 217.7, 2019-03-07 01:19:47
63.4, 60.7, 245.7, 256.6, 251.7, 236.3, 225.3, 215.9, 2019-03-07 01:29:49
63.4, 60.5, 274.6, 223.5, 238.1, 299.1, 230.0, 187.0, 2019-03-07 01:39:50
63.4, 60.7, 241.5, 275.6, 237.7, 229.9, 260.1, 214.0, 2019-03-07 01:49:51
63.5, 60.8, 250.1, 248.1, 237.9, 258.8, 246.8, 190.1, 2019-03-07 01:59:52
63.4, 60.6, 257.3, 248.1, 235.4, 247.7, 238.5, 204.6, 2019-03-07 02:10:06
63.5, 60.7, 261.8, 249.8, 229.3, 245.5, 253.6, 203.4, 2019-03-07 02:20:07
63.3, 60.5, 240.4, 253.1, 261.9, 240.8, 218.0, 212.9, 2019-03-07 02:30:08
63.6, 60.9, 257.3, 224.8, 247.1, 284.9, 226.2, 191.5, 2019-03-07 02:40:09
63.5, 60.8, 236.8, 240.9, 253.9, 248.4, 238.4, 205.9, 2019-03-07 02:50:11
63.4, 60.8, 252.3, 234.4, 240.4, 247.7, 246.0, 213.6, 2019-03-07 03:00:23
63.5, 60.8, 257.4, 241.0, 243.6, 251.0, 230.0, 207.0, 2019-03-07 03:10:25
63.5, 60.9, 250.6, 246.0, 255.7, 237.8, 222.7, 221.4, 2019-03-07 03:20:26
63.6, 61.1, 288.6, 240.1, 219.8, 250.3, 276.8, 210.4, 2019-03-07 03:30:27
63.5, 60.5, 227.3, 231.0, 276.7, 263.4, 220.9, 199.7, 2019-03-07 03:40:28
63.4, 60.8, 237.0, 254.3, 248.0, 244.0, 234.2, 201.4, 2019-03-07 03:50:30
63.5, 60.9, 238.1, 241.3, 265.1, 254.3, 221.8, 199.8, 2019-03-07 04:00:42
63.5, 60.8, 275.8, 248.3, 227.6, 238.8, 259.6, 216.5, 2019-03-07 04:10:43
63.6, 61.0, 245.4, 244.6, 245.9, 242.5, 247.2, 213.0, 2019-03-07 04:20:45
63.5, 60.8, 254.0, 255.1, 242.8, 238.8, 237.0, 207.4, 2019-03-07 04:30:46
63.5, 60.9, 256.0, 235.8, 249.0, 249.7, 225.6, 214.7, 2019-03-07 04:40:47
63.4, 60.8, 251.5, 243.8, 247.1, 254.2, 234.6, 201.4, 2019-03-07 04:50:48
63.4, 60.9, 266.9, 238.8, 246.5, 250.6, 224.0, 209.1, 2019-03-07 05:01:01
63.5, 60.8, 243.8, 256.9, 255.5, 240.0, 224.8, 208.8, 2019-03-07 05:11:02
63.4, 60.7, 234.8, 243.7, 262.3, 246.8, 229.0, 207.6, 2019-03-07 05:21:04
63.5, 60.8, 244.3, 230.9, 254.6, 266.9, 227.1, 198.2, 2019-03-07 05:31:05
63.4, 60.6, 229.2, 251.3, 268.3, 243.9, 217.4, 209.8, 2019-03-07 05:41:06
63.5, 60.8, 253.8, 268.8, 242.3, 231.1, 237.0, 220.1, 2019-03-07 05:51:07
63.6, 61.1, 252.1, 258.3, 246.4, 225.9, 237.7, 234.5, 2019-03-07 06:01:20
63.7, 60.9, 247.7, 243.5, 250.5, 249.0, 232.8, 205.8, 2019-03-07 06:11:21
63.5, 60.7, 267.6, 241.8, 237.9, 247.0, 240.5, 216.2, 2019-03-07 06:21:22
63.5, 60.7, 249.3, 253.2, 241.3, 244.5, 242.1, 204.4, 2019-03-07 06:31:24
63.5, 60.6, 246.2, 242.3, 249.7, 256.3, 233.5, 198.1, 2019-03-07 06:41:25
63.7, 60.9, 253.8, 239.0, 248.5, 247.4, 228.6, 216.5, 2019-03-07 06:51:26
64.5, 61.5, 230.6, 254.8, 270.9, 242.3, 217.8, 210.6, 2019-03-07 07:01:39
65.0, 62.0, 234.6, 260.8, 261.1, 235.2, 230.1, 224.6, 2019-03-07 07:11:40
65.3, 62.3, 250.6, 243.9, 248.8, 251.3, 224.6, 209.3, 2019-03-07 07:21:41
65.5, 62.4, 244.9, 244.2, 257.1, 247.6, 226.0, 209.7, 2019-03-07 07:31:43
65.8, 62.8, 234.6, 260.4, 271.9, 238.4, 211.8, 212.2, 2019-03-07 07:41:44
66.1, 62.9, 246.5, 255.2, 251.3, 234.0, 230.7, 219.7, 2019-03-07 07:51:45
66.0, 62.6, 253.8, 241.1, 241.9, 255.7, 234.9, 201.4, 2019-03-07 08:01:58
66.0, 62.9, 250.0, 225.5, 243.4, 267.7, 236.8, 199.9, 2019-03-07 08:11:59
66.0, 62.3, 262.6, 256.0, 232.8, 234.6, 247.6, 219.2, 2019-03-07 08:22:00
66.0, 62.7, 242.3, 251.5, 254.3, 230.2, 221.3, 230.8, 2019-03-07 08:32:02
66.0, 62.5, 248.8, 245.7, 255.6, 236.3, 218.7, 233.8, 2019-03-07 08:42:03
66.0, 62.7, 252.8, 240.3, 239.2, 247.4, 249.5, 205.7, 2019-03-07 08:52:04
66.1, 62.9, 232.7, 239.1, 263.3, 245.1, 222.4, 208.1, 2019-03-07 09:02:17
66.2, 62.7, 237.7, 238.8, 264.5, 244.0, 219.2, 212.3, 2019-03-07 09:12:18
66.1, 63.0, 254.8, 244.4, 244.8, 234.9, 226.7, 226.4, 2019-03-07 09:22:19
66.0, 62.8, 303.2, 255.7, 213.4, 238.1, 272.4, 210.6, 2019-03-07 09:32:21
66.0, 63.0, 242.1, 255.1, 253.6, 229.9, 220.3, 217.8, 2019-03-07 09:42:22
66.0, 62.9, 252.7, 254.0, 245.3, 225.0, 231.4, 234.6, 2019-03-07 09:52:23
65.9, 62.9, 261.8, 241.7, 233.9, 253.9, 237.1, 198.7, 2019-03-07 10:02:36
66.0, 63.0, 268.4, 249.9, 234.3, 249.0, 232.6, 200.7, 2019-03-07 10:12:38
66.0, 62.9, 245.0, 245.7, 244.0, 242.2, 233.7, 212.3, 2019-03-07 10:22:39
65.8, 62.8, 236.6, 248.1, 253.0, 242.8, 227.5, 209.2, 2019-03-07 10:32:40
65.9, 62.8, 263.2, 241.8, 232.2, 251.6, 242.7, 201.7, 2019-03-07 10:42:41
65.7, 62.7, 257.0, 234.1, 243.5, 250.7, 229.7, 205.0, 2019-03-07 10:52:43
