s1, s2, s3, s4, s5, s6, s7, s8, Time
65.3, 63.3, 229.0, 231.2, 227.3, 213.2, 209.6, 212.6, 2019-04-07 00:17:22
65.2, 63.2, 233.6, 219.1, 225.3, 231.8, 206.6, 187.4, 2019-04-07 00:27:24
65.1, 63.1, 249.5, 216.2, 207.2, 236.4, 238.0, 177.5, 2019-04-07 00:37:25
65.0, 63.1, 248.6, 218.2, 211.3, 223.1, 231.1, 195.6, 2019-04-07 00:47:26
64.9, 63.0, 245.3, 218.6, 209.7, 232.2, 230.4, 187.4, 2019-04-07 00:57:27
64.8, 63.0, 228.5, 225.5, 229.3, 215.8, 207.6, 208.7, 2019-04-07 01:08:17
64.8, 62.9, 242.2, 213.7, 210.7, 240.0, 236.2, 175.3, 2019-04-07 01:18:19
64.8, 62.9, 246.0, 215.9, 214.2, 234.1, 220.5, 189.8, 2019-04-07 01:28:20
64.7, 62.9, 227.3, 239.7, 229.7, 203.0, 214.6, 224.0, 2019-04-07 01:38:21
64.6, 62.7, 212.7, 231.8, 250.1, 204.9, 199.1, 219.6, 2019-04-07 01:48:22
64.5, 62.7, 250.3, 218.7, 210.7, 245.3, 221.5, 174.8, 2019-04-07 01:58:24
64.4, 62.6, 243.4, 238.8, 214.4, 204.6, 223.8, 217.2, 2019-04-07 02:09:12
64.3, 62.6, 248.6, 221.2, 211.0, 217.0, 230.2, 204.3, 2019-04-07 02:19:13
64.3, 62.5, 213.1, 225.7, 252.2, 222.1, 196.5, 196.1, 2019-04-07 02:29:15
64.2, 62.5, 229.9, 243.2, 218.4, 207.4, 221.0, 208.0, 2019-04-07 02:39:16
64.2, 62.4, 240.6, 222.8, 216.9, 232.3, 214.3, 187.3, 2019-04-07 02:49:17
64.1, 62.4, 222.8, 213.0, 238.9, 235.8, 201.6, 184.1, 2019-04-07 02:59:19
64.0, 62.2, 233.0, 229.0, 223.7, 221.6, 213.2, 191.6, 2019-04-07 03:10:07
63.9, 62.2, 219.3, 249.7, 228.9, 202.0, 216.1, 222.2, 2019-04-07 03:20:08
63.8, 62.1, 230.6, 216.8, 232.7, 229.1, 209.2, 192.1, 2019-04-07 03:30:10
63.8, 62.0, 220.8, 217.8, 254.6, 217.2, 191.7, 207.0, 2019-04-07 03:40:11
63.7, 62.1, 255.3, 246.0, 207.6, 205.9, 230.3, 216.9, 2019-04-07 03:50:12
63.7, 62.1, 238.0, 211.8, 223.6, 225.3, 209.2, 212.8, 2019-04-07 04:01:01
63.6, 61.9, 221.4, 266.5, 224.8, 204.4, 218.0, 202.7, 2019-04-07 04:11:02
63.6, 62.2, 258.7, 223.3, 210.3, 228.2, 227.3, 187.5, 2019-04-07 04:21:04
63.9, 62.3, 228.9, 230.5, 229.3, 212.6, 215.3, 208.2, 2019-04-07 04:31:05
63.9, 62.1, 238.9, 223.6, 217.6, 237.9, 216.7, 177.0, 2019-04-07 04:41:06
63.9, 62.2, 229.1, 236.1, 225.9, 218.6, 208.6, 198.3, 2019-04-07 04:51:08
64.1, 62.4, 228.9, 223.6, 228.3, 222.5, 212.4, 193.9, 2019-04-07 05:01:56
64.1, 62.3, 208.8, 227.1, 257.6, 215.0, 191.9, 205.3, 2019-04-07 05:11:57
64.0, 62.1, 245.3, 215.7, 216.1, 237.2, 221.3, 182.1, 2019-04-07 05:21:59
63.9, 62.0, 235.8, 219.8, 230.6, 227.4, 208.6, 191.9, 2019-04-07 05:32:00
63.9, 62.1, 234.3, 233.5, 221.8, 213.1, 215.1, 208.9, 2019-04-07 05:42:01
64.1, 62.3, 218.2, 207.7, 254.7, 237.4, 194.2, 190.9, 2019-04-07 05:52:02
64.1, 62.3, 257.5, 231.3, 202.8, 225.7, 240.9, 187.5, 2019-04-07 06:02:51
64.0, 62.2, 224.5, 211.7, 239.8, 247.1, 203.0, 176.7, 2019-04-07 06:12:52
64.0, 62.0, 210.7, 230.8, 261.3, 213.9, 194.8, 203.2, 2019-04-07 06:22:53
63.9, 62.1, 217.9, 224.8, 239.8, 223.3, 210.1, 191.9, 2019-04-07 06:32:55
63.9, 62.3, 232.0, 217.2, 224.2, 243.3, 213.4, 178.0, 2019-04-07 06:42:56
64.1, 62.4, 245.6, 230.9, 209.3, 219.0, 239.3, 196.3, 2019-04-07 06:52:57
64.2, 62.3, 230.3, 209.5, 233.7, 250.3, 202.6, 174.9, 2019-04-07 07:03:46
64.2, 62.3, 231.9, 207.0, 238.0, 261.9, 195.4, 175.5, 2019-04-07 07:13:47
